id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<ALL>	weight<MPI>	weight<NIH>	weight<CNRS>	weight<NST>	weight<FH>	weight<AIST>	weight<RIKEN>
Environmental Engineering	-0.7428	0.2461	5	83	13880	2453	123	47	490	1115	431	205	42
Environmental Science	-0.4728	0.1649	1	97	11802	2819	706	244	759	632	197	224	57
Environmental Science (miscellaneous)	-0.4481	0.2649	1	50	1508	344	107	5	99	65	44	18	6
Epidemiology	0.7091	-0.0304	2	46	9274	3457	106	3135	147	21	16	5	27
Equine	1.3782	0.7495	3	3	138	30	5	5	16	4	0	0	0
Experimental and Cognitive Psychology	0.3175	-0.0106	1	52	11366	2487	1381	399	548	10	10	62	77
Family Practice	0.5671	-0.1131	2	9	264	95	7	79	5	1	3	0	0
Filtration and Separation	-1.1915	-0.5115	6	18	2164	506	19	13	66	281	53	67	7
Finance	-0.2054	0.1002	1	27	710	268	141	2	100	7	16	2	0
Fluid Flow and Transfer Processes	-0.9749	-0.0923	1	66	4976	1028	109	4	333	372	115	64	31
Food Animals	1.3708	0.7444	3	15	478	132	47	21	41	13	5	3	2
Food Science	0.5075	0.2539	3	84	10424	3212	196	369	358	1642	471	128	48
Forestry	-1.082	1.0062	7	50	28324	1512	626	5	538	152	111	39	41
Fuel Technology	-1.0879	0.0482	5	55	12340	2345	80	2	360	1178	314	401	10
Fundamentals and Skills	0.5259	-0.0728	2	11	52	15	0	13	2	0	0	0	0
Gastroenterology	1.0671	-0.0682	2	27	2016	1121	66	733	144	51	35	17	75
Gender Studies	-0.017	0.072	1	30	188	49	10	19	20	0	0	0	0
Genetics	1.2724	0.1451	3	95	78342	19134	4510	7041	3848	1018	247	523	1947
Genetics (clinical)	1.3836	-0.0279	3	42	21340	5532	1011	3115	869	73	46	29	389
Geochemistry and Petrology	-1.3394	0.9635	7	50	34170	3873	915	3	1677	555	38	621	64
"Geography, Planning and Development"	-0.2875	0.1804	1	95	5126	1243	203	59	485	219	207	66	4
Geology	-0.8754	0.5635	1	52	9524	2488	362	8	959	566	31	543	19
Geometry and Topology	-0.3514	-0.0913	1	24	2032	525	327	8	148	5	27	3	7
Geophysics	-1.2168	0.8671	7	43	34976	3866	1074	2	1567	505	35	601	82
Geotechnical Engineering and Engineering Geology	-0.8107	0.3307	1	63	3446	1025	31	0	188	596	55	148	7
Geriatrics and Gerontology	0.4773	-0.0009	2	49	7652	1733	240	1193	205	32	32	16	15
Gerontology	0.3592	0.0045	2	17	1032	171	37	93	24	2	9	6	0
Global and Planetary Change	-0.6248	0.4498	1	48	7096	1149	458	9	473	127	22	50	10
Hardware and Architecture	-0.5422	-0.101	1	71	19766	4325	383	34	950	1140	1106	537	175
Health (social science)	0.294	-0.0084	2	94	5744	1067	96	756	109	69	24	6	7
Health Informatics	0.3725	-0.1214	2	67	6342	1470	87	682	166	151	213	103	68
Health Information Management	0.4584	-0.0997	2	24	1668	409	12	206	46	32	81	21	11
Health Policy	0.4468	-0.0527	2	61	3936	1058	59	869	95	6	22	1	6
Health Professions	0.2758	-0.0542	2	20	318	102	14	55	5	4	12	3	9
Health Professions (miscellaneous)	0.4352	-0.0496	2	8	50	21	0	12	0	3	0	6	0
"Health, Toxicology and Mutagenesis"	-0.0132	0.0524	5	72	14960	2972	107	1050	434	928	236	152	65
Hematology	1.126	-0.109	2	36	13370	3572	188	2785	383	56	33	18	109
Hepatology	1.0762	-0.0683	2	16	1718	1142	61	840	111	34	10	14	72
Histology	0.7835	-0.1803	2	33	4262	999	274	383	154	56	78	17	37
History	-0.0992	0.0778	1	74	4974	1401	448	22	908	14	5	3	1
History and Philosophy of Science	0.075	0.0359	1	51	1796	608	227	189	166	9	2	5	10
Horticulture	1.0035	0.6765	3	13	1302	377	98	2	98	116	19	9	35
Human Factors and Ergonomics	0.0912	-0.0008	1	51	982	189	27	23	44	40	18	34	3
Human-Computer Interaction	-0.2575	-0.1493	1	82	19386	3646	445	49	710	927	864	488	163
Immunology	1.4332	0.0725	3	68	49906	11813	1079	7573	1823	373	175	86	704
Immunology and Allergy	1.345	-0.0471	3	52	21542	6804	541	4505	892	234	112	42	478
Immunology and Microbiology	0.7925	0.2582	3	38	22710	4164	1230	1598	849	127	65	55	240
Immunology and Microbiology (miscellaneous)	0.7668	-0.1375	2	10	524	99	16	45	17	12	3	1	5
Industrial Relations	-0.2147	0.0929	1	29	310	69	21	1	29	15	3	0	0
Industrial and Manufacturing Engineering	-0.6926	0.0353	1	107	29450	6643	345	16	735	2442	2349	615	141
Infectious Diseases	1.2511	0.1594	3	53	27222	7223	491	5039	1248	164	66	41	174
Information Systems	-0.358	0.0329	1	111	19750	4936	566	244	728	1850	1150	232	166
Information Systems and Management	-0.3278	0.0662	1	59	5980	1048	81	17	168	403	328	33	18
Inorganic Chemistry	-1.702	-0.9031	4	37	20538	4575	1600	109	1256	592	210	526	282
Insect Science	1.4381	0.5023	3	30	9500	1829	355	754	496	69	31	59	65
Instrumentation	-0.8933	-0.2558	5	106	35708	9377	2311	122	1196	2078	1794	1016	860
Internal Medicine	0.7584	-0.093	2	26	4218	1926	96	1532	187	38	8	17	48
"Issues, Ethics and Legal Aspects"	0.3353	-0.0234	2	14	1102	293	10	258	12	0	7	1	5
LPN and LVN	0.538	-0.0771	2	17	216	30	5	14	8	0	2	1	0
Language and Linguistics	0.2193	-0.0181	1	53	10088	1927	846	90	825	19	56	52	39
Law	-0.1098	0.0759	1	86	2570	758	413	55	163	45	70	11	1
Leadership and Management	0.5273	-0.072	2	12	96	53	0	52	0	0	1	0	0
Library and Information Sciences	-0.0912	0.0041	1	56	5178	1125	270	332	239	102	98	35	49
Life-span and Life-course Studies	0.1827	0.0388	1	25	1202	211	95	91	19	2	0	0	4
Linguistics and Language	0.2466	-0.017	1	58	9126	1822	877	95	754	8	30	25	33
Literature and Literary Theory	-0.0737	0.0687	1	23	1678	348	30	3	313	0	1	1	0
Logic	-0.2628	-0.0276	1	27	356	93	16	4	51	9	3	8	2
Management Information Systems	-0.2761	0.0853	1	36	1494	220	15	2	42	34	119	8	0
Management Science and Operations Research	-0.2869	0.0817	1	58	3746	738	89	12	226	124	260	23	4
Management of Technology and Innovation	-0.2203	0.0863	1	59	2280	564	74	21	63	139	256	10	1
"Management, Monitoring, Policy and Law"	-0.358	0.2347	1	91	5582	1135	149	42	290	316	215	103	20
Marketing	-0.2992	0.0816	1	48	992	201	30	2	22	35	89	20	3
Materials Chemistry	-1.7479	-0.5835	4	79	111348	16638	2871	172	2775	5422	2093	2581	724
Materials Science	-1.3052	-0.3001	4	106	120596	26335	6090	374	3451	9629	2657	3202	932
Materials Science (miscellaneous)	-0.4944	-0.024	1	64	1608	306	104	5	47	43	62	29	16
Maternity and Midwifery	0.5858	-0.0652	2	10	178	39	7	27	5	0	0	0	0
Mathematical Physics	-0.666	-0.144	1	34	6358	1549	993	16	317	78	34	23	88
Mathematics	-0.3648	-0.0207	1	71	6290	2516	947	95	837	251	269	46	71
Mathematics (miscellaneous)	-0.1688	0.0079	1	18	358	141	75	2	53	6	2	3	0
Mechanical Engineering	-1.236	-0.0613	4	109	99022	17728	2408	117	2338	7463	2685	2224	493
Mechanics of Materials	-1.6802	-0.3228	4	79	77650	13840	2004	141	1982	5320	2105	1874	414
Media Technology	-0.2872	-0.0799	1	48	4170	885	15	8	90	428	275	52	17
Medical Assisting and Transcription	0.2111	-0.0173	1	1	2	1	0	1	0	0	0	0	0
Medical Laboratory Technology	0.6967	-0.206	2	30	1106	267	27	150	27	18	30	7	8
Medical and Surgical Nursing	0.7779	-0.1085	2	6	34	9	0	8	1	0	0	0	0
Medicine	0.4457	-0.036	2	227	34322	14348	2302	7996	1619	985	249	370	827
Medicine (miscellaneous)	0.4911	-0.0856	2	105	12364	3161	160	2006	250	505	99	81	60
Metals and Alloys	-2.2247	-0.6759	4	51	52562	7059	1033	53	849	3104	946	839	235
Microbiology	1.5157	0.3393	3	52	31080	7547	1482	2442	1825	1093	80	244	381
Microbiology (medical)	1.3254	0.1095	3	42	10116	2672	344	1404	675	87	47	48	67
Modeling and Simulation	-0.4946	-0.0144	1	136	34974	5419	1224	392	1390	865	1126	197	225
